ID,Name,ImageFile,OriginalURL,PokeEne,HP,ATK,DEF,SP.ATK,SP.DEF,Speed,Type,Move,MoveType,Special,Rarity,Variant,Series
2-4-001,ジガルデ,2-4-001_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-001_kira.webp,352,307,117,140,106,111,3,"じめん, ドラゴン",グランドフォース,じめん,,5,,ベストタッグ4だん
2-4-002,ギラティナ,2-4-002_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-002_kira.webp,348,238,141,119,141,119,3,ゴースト,シャドーダイブ,ゴースト,,4,,ベストタッグ4だん
2-4-003,レジギガス,2-4-003_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-003_kira.webp,340,192,187,130,96,130,3,ノーマル,アームハンマー,ノーマル,,4,,ベストタッグ4だん
2-4-004,ルチャブル,2-4-004_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-004_kira.webp,292,171,120,99,98,84,3,"かくとう, ひこう",ブレイブバード,ひこう,メガシンカ,4,,ベストタッグ4だん
2-4-005,カイリュー,2-4-005_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-005_kira.webp,316,173,160,115,121,121,3,ドラゴン,Dragon Rush,ドラゴン,メガシンカ,4,,ベストタッグ4だん
2-4-006,バンギラス,2-4-006_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-006_kira.webp,316,184,160,132,115,121,2,"いわ, あく",ストーンエッジ,いわ,メガシンカ,4,,ベストタッグ4だん
2-4-007,ビクティニ,2-4-007_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-007_kira.webp,315,184,121,121,121,121,3,ほのお,Vジェネレート,ほのお,Zわざ,4,,ベストタッグ4だん
2-4-008,ゼラオラ,2-4-008_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-008_kira.webp,316,170,134,92,123,97,4,でんき,プラズマフィスト,でんき,Zわざ,4,,ベストタッグ4だん
2-4-009,カビゴン,2-4-009_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-009_kira.webp,296,262,137,83,83,137,1,ノーマル,ギガインパクト,ノーマル,テラスタル,4,,ベストタッグ4だん
2-4-010,シェイミ,2-4-010_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-010_kira.webp,316,184,124,92,144,92,3,くさ,シードフレア,くさ,テラスタル,4,,ベストタッグ4だん
2-4-011,ファイアロー,2-4-011_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-011_kira.webp,252,148,92,81,84,79,3,"ほのお,ひこう",ブレイブバード,ひこう,,3,,ベストタッグ4だん
2-4-012,フライゴン,2-4-012_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-012_kira.webp,256,147,111,89,89,89,3,じめん,10まんバリキ,じめん,タッグわざ,3,,ベストタッグ4だん
2-4-013,ウツボット,2-4-013_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-013_kira.webp,248,150,118,75,113,80,2,"くさ, どく",パワーウィップ,くさ,メガシンカ,3,,ベストタッグ4だん
2-4-014,チルタリス,2-4-014_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-014_kira.webp,248,145,80,102,80,118,3,"ドラゴン, ひこう",りゅうのはどう,ドラゴン,メガシンカ,3,,ベストタッグ4だん
2-4-015,オノノクス,2-4-015_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-015_kira.webp,250,141,157,98,67,77,3,ドラゴン,アルティメットドラゴンバーン,ドラゴン,Zわざ,4,,ベストタッグ4だん
2-4-016,ケルディオ,2-4-016_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-016_kira.webp,268,153,78,96,136,96,3,みず,せいなるつるぎ,かくとう,テラスタル,4,,ベストタッグ4だん
2-4-017,レジロック,2-4-017_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-017_kira.webp,272,142,107,209,56,107,1,いわ,ストーンエッジ,いわ,,3,,ベストタッグ4だん
2-4-018,レジアイス,2-4-018_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-018_kira.webp,272,142,56,107,107,209,2,こおり,れいとうビーム,こおり,,3,,ベストタッグ4だん
2-4-019,レジスチル,2-4-019_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-019_kira.webp,272,142,81,158,81,158,3,はがね,ラスターカノン,はがね,,3,,ベストタッグ4だん
